"table_schema","table_name","ordinal_position","column_name","data_type","is_nullable"
msbf_ctl,payment_data_scope_profile,1,payment_data_scope_profile_id,bigint,NO
msbf_ctl,payment_data_scope_profile,2,profile_code,text,NO
msbf_ctl,payment_data_scope_profile,3,profile_version,integer,NO
msbf_ctl,payment_data_scope_profile,4,business_name,text,NO
msbf_ctl,payment_data_scope_profile,5,effective_start_date,date,NO
msbf_ctl,payment_data_scope_profile,6,effective_end_date,date,YES
msbf_ctl,payment_data_scope_profile,7,status,text,NO
msbf_ctl,payment_data_scope_profile,8,owner_role,text,NO
msbf_ctl,payment_data_scope_profile,9,approver_role,text,YES
msbf_ctl,payment_data_scope_profile,10,approval_timestamp,timestamp with time zone,YES
